Last Read Date,Billing Days,Gas Usage (Therms),Read Method,Gas Charges,Total Gas Charges,Total  Gas Charges / Day,Average Temperature,Heating Degree Days
11/16/2017,29,58,Actual,$ 42.12,$ 42.33,$ 1.46,47 ° F,518
10/18/2017,30,37,Actual,$ 31.48,$ 31.64,$ 1.05,54 ° F,344
09/18/2017,32,7,Actual,$ 16.85,$ 16.94,$ 0.53,72 ° F,18
08/17/2017,29,5,Actual,$ 15.91,$ 15.99,$ 0.55,71 ° F,13
07/19/2017,30,6,Actual,$ 16.41,$ 16.49,$ 0.55,73 ° F,20
06/19/2017,32,17,Actual,$ 21.69,$ 21.80,$ 0.68,63 ° F,142
05/18/2017,29,33,Actual,$ 29.20,$ 29.35,$ 1.01,52 ° F,366
04/19/2017,29,42,Actual,$ 34.22,$ 34.39,$ 1.19,50 ° F,427
03/21/2017,32,62,Actual,$ 46.07,$ 46.30,$ 1.45,46 ° F,593
02/17/2017,29,81,Actual,$ 56.07,$ 56.35,$ 1.94,42 ° F,682
01/19/2017,34,103,Actual,$ 65.57,$ 65.90,$ 1.94,32 ° F,1113
12/16/2016,31,86,Actual,$ 54.56,$ 54.84,$ 1.77,35 ° F,917
11/15/2016,29,33,Actual,$ 29.31,$ 29.46,$ 1.02,57 ° F,253
10/17/2016,31,21,Actual,$ 23.57,$ 23.69,$ 0.76,61 ° F,155
09/16/2016,28,8,Actual,$ 17.30,$ 17.39,$ 0.62,67 ° F,44
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
